Feed_Temp_C,Feed_Pressure_atm,Feed_x_Benzene,Num_Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate_kmol_h,xD_Benzene,xB_Toluene,Qc_kW,Qr_kW
64.61,2.31,0.5432,15,6,3.5827,13.33,0.998,0.995,857.98,930.59
41.8,1.33,0.4237,10,4,2.1684,12.71,0.9789,0.995,672.37,730.84
82.29,2.46,0.6295,11,6,1.2986,17.81,0.9822,0.9712,672.31,745.16
69.27,1.51,0.682,10,6,3.2893,15.4,0.998,0.995,853.51,917.58
58.26,1.27,0.6285,14,7,3.4457,9.18,0.998,0.9871,783.87,845.77
61.7,2.18,0.3006,16,8,1.6497,15.57,0.9429,0.995,662.32,734.55
50.18,1.99,0.5546,17,8,2.7046,8.95,0.998,0.9891,691.86,761.74
39.86,1.75,0.3205,19,11,1.7375,8.27,0.9521,0.995,569.73,635.35
46.36,1.83,0.403,10,5,3.2139,12.04,0.9855,0.995,784.36,850.22
70.47,2.08,0.3238,16,7,1.9603,17.94,0.9537,0.995,737.38,809.97
25.86,1.34,0.5415,14,6,2.0854,9.75,0.9964,0.979,619.54,680.32
31.96,2.49,0.5746,19,11,3.5659,14.73,0.998,0.995,840.86,912.45
27.76,2.46,0.3458,10,4,2.5337,9.73,0.9711,0.995,669.76,744.62
27.44,1.98,0.4535,12,6,3.0753,15.25,0.9881,0.995,792.1,857.63
76.33,1.3,0.4825,16,8,2.3266,13.05,0.9834,0.995,718.28,780.88
67.22,2.02,0.4476,19,8,2.0344,14.8,0.9766,0.995,705.2,775.16
53.45,1.11,0.3484,10,4,2.9513,10.03,0.974,0.995,741.7,798.81
30.87,1.05,0.4676,16,9,1.6336,15.46,0.9643,0.995,642.52,697.5
54.5,1.39,0.6005,14,8,2.2444,17.96,0.9972,0.995,755.73,818.73
53.41,1.69,0.3284,10,6,1.7853,14.66,0.958,0.995,668.37,735.5
35.39,2.3,0.3321,10,6,3.1482,12.93,0.9717,0.995,780.41,854.52
51.03,2.09,0.4419,10,5,3.8438,17.23,0.9954,0.995,923.37,998.16
48.91,2.11,0.6767,18,10,3.9874,8.16,0.998,0.9833,820.66,892.74
61.95,1.64,0.5674,12,6,2.4608,15.3,0.998,0.995,750.09,811.74
63.11,1.52,0.5715,14,7,1.9071,16.89,0.9947,0.995,715.1,778.08
27.72,1.56,0.4448,19,11,2.4399,8.62,0.9829,0.995,648.58,712.97
47.48,2.48,0.5375,18,8,3.5724,12.5,0.998,0.995,832.2,909.16
62.55,1.06,0.3041,15,7,1.7768,10.05,0.9459,0.995,614.57,669.64
55.19,2.3,0.5544,18,9,3.8659,13.67,0.998,0.995,880.83,958.86
76.39,1.87,0.6653,17,7,2.1572,14.5,0.998,0.9867,721.41,787.05
64.52,1.66,0.545,17,7,3.9603,11.03,0.998,0.995,873.2,932.54
34.78,2.09,0.6495,10,6,3.5481,12.6,0.998,0.995,818.28,892.84
29.23,1.73,0.5896,18,11,3.464,10.79,0.998,0.995,787.09,850.59
63.55,2.31,0.3482,15,7,2.0901,11.69,0.9642,0.995,673.04,747.11
26.59,2.35,0.661,18,8,1.2246,9.6,0.9895,0.9405,526.26,600.77
60.15,1.63,0.3266,12,5,2.27,16.86,0.9629,0.995,750.68,817.63
81.41,1.42,0.5136,12,7,2.0451,8.1,0.9905,0.98,637.14,701.24
59.53,1.89,0.3569,15,7,1.3047,16.82,0.9426,0.995,646.32,712.07
48.29,2.37,0.3047,18,8,2.615,13.72,0.9619,0.995,738.08,816.32
63.6,1.32,0.4688,16,8,2.3285,11.32,0.9863,0.995,691.48,753.9
52.5,1.93,0.418,12,6,2.9768,15.23,0.9873,0.995,797.17,866.22
57.74,1.95,0.4944,12,6,2.9393,13.08,0.998,0.995,772.68,843.76
81.49,2.1,0.5309,11,6,1.5381,12.99,0.979,0.9815,646.04,719.6
48.17,1.2,0.3175,18,9,3.9355,9.1,0.9802,0.995,832.73,890.19
82.67,2.07,0.3492,12,6,1.7234,11.9,0.957,0.995,644.34,715.13
79.32,2.36,0.5235,14,7,2.4468,10.41,0.9961,0.9937,711.11,787.75
36.75,1.27,0.4373,18,10,2.5667,8.16,0.9877,0.995,657.51,713.3
29.16,1.36,0.5917,17,9,3.4766,11.6,0.998,0.995,796.89,856.52
31.05,2.46,0.5609,11,5,1.4778,8.9,0.9802,0.9595,546.06,620.51
26.09,1.27,0.6382,12,6,2.4002,10.57,0.998,0.9758,666.71,728.63
30.67,2.28,0.577,11,5,2.9598,8.93,0.998,0.9912,705.6,779.09
65.98,1.74,0.472,17,10,1.8024,9.01,0.9786,0.9833,606.94,673.57
29.27,1.37,0.5692,15,7,2.9569,9.99,0.998,0.995,710.49,770.62
44.14,2.31,0.4102,15,9,3.7863,18.0,0.9838,0.995,917.42,991.44
75.69,1.67,0.4225,18,8,3.9931,8.02,0.987,0.995,848.23,913.67
26.4,1.77,0.6156,17,9,1.2909,14.39,0.9809,0.9698,588.34,653.46
73.87,1.54,0.4786,13,7,1.8596,9.41,0.9794,0.9834,630.36,693.05
41.91,1.89,0.6194,13,7,2.0689,17.21,0.9979,0.995,718.45,786.38
32.09,1.25,0.629,18,8,2.3176,8.94,0.998,0.972,639.35,697.19
66.8,1.59,0.643,10,5,1.8783,17.55,0.998,0.9905,720.87,785.45
62.74,2.45,0.6667,11,6,1.7698,14.11,0.998,0.9703,666.3,742.21
77.65,1.39,0.4724,11,5,3.8728,8.01,0.998,0.995,831.47,895.5
69.1,1.99,0.4275,15,7,3.7719,16.94,0.9887,0.995,919.24,990.28
73.21,1.49,0.5329,13,7,1.3316,13.22,0.9697,0.969,611.16,670.78
41.92,2.16,0.4485,19,10,2.1487,10.63,0.9794,0.995,648.05,721.56
35.65,1.2,0.5404,12,5,2.3344,15.67,0.9962,0.995,719.48,776.04
70.04,2.45,0.5822,12,6,1.8692,17.27,0.9873,0.995,716.95,794.04
73.41,1.68,0.5754,12,5,2.9608,12.84,0.998,0.995,786.66,850.41
84.43,1.35,0.4498,15,8,2.9931,11.16,0.9927,0.995,782.99,838.92
49.76,1.11,0.3667,17,9,3.5814,15.89,0.9786,0.995,876.41,933.02
47.32,1.25,0.4722,16,9,3.2744,14.82,0.9971,0.995,826.07,882.02
71.58,1.78,0.357,13,8,2.7192,16.89,0.9752,0.995,810.38,877.92
45.45,1.51,0.656,13,6,3.03,14.93,0.998,0.995,800.18,863.11
80.85,2.24,0.4384,19,8,1.9672,10.44,0.975,0.995,655.2,727.64
76.5,1.65,0.3618,11,5,2.8606,17.32,0.9779,0.995,832.04,900.38
50.74,1.37,0.3102,10,5,2.5698,9.05,0.973,0.995,686.46,744.58
70.05,1.93,0.5583,18,11,1.5734,10.68,0.9844,0.967,599.8,667.43
70.27,2.06,0.5548,11,6,1.8791,13.2,0.9865,0.9875,669.12,737.78
31.19,1.25,0.4362,17,8,2.0167,13.66,0.9733,0.995,660.07,722.91
79.15,1.25,0.3287,18,9,3.7881,8.15,0.9825,0.995,829.53,891.0
55.32,1.06,0.4639,13,7,1.8451,15.81,0.9712,0.995,690.29,743.27
74.59,2.1,0.4245,17,9,2.0099,11.62,0.9732,0.995,675.72,745.64
44.2,2.0,0.5708,18,8,2.2342,12.06,0.998,0.9935,675.62,743.97
78.73,1.71,0.5423,19,11,3.0585,16.09,0.998,0.995,842.47,907.05
48.35,2.27,0.4458,19,10,1.5311,11.79,0.969,0.9835,599.7,671.61
25.65,2.21,0.3872,14,6,3.871,8.47,0.9905,0.995,796.41,868.33
79.32,1.88,0.6952,16,9,3.6236,9.76,0.998,0.9894,825.67,895.85
30.48,2.3,0.4816,19,8,2.8162,17.56,0.9932,0.995,794.58,873.01
44.16,1.31,0.5753,13,8,3.0873,8.7,0.998,0.9915,731.62,788.16
82.0,1.17,0.3562,10,6,1.2466,11.55,0.945,0.995,590.6,646.03
82.04,1.4,0.4942,12,6,2.149,13.03,0.9891,0.995,709.65,771.14
59.41,1.09,0.311,14,8,3.4278,12.93,0.9756,0.995,824.18,877.3
62.91,1.8,0.5022,12,6,1.417,8.04,0.9704,0.9606,552.72,620.15
51.91,2.4,0.6856,16,9,1.9905,13.01,0.998,0.9793,665.41,742.56
42.59,1.06,0.4537,18,9,2.8388,11.84,0.9863,0.995,734.57,791.86
44.72,1.18,0.3156,15,8,1.918,17.72,0.9574,0.995,711.37,770.14
65.35,1.68,0.3124,19,11,3.8151,9.59,0.9783,0.995,842.58,906.69
70.14,2.4,0.4552,10,6,1.567,11.54,0.9658,0.9883,619.95,695.6
72.49,1.47,0.364,16,9,3.4327,12.19,0.9812,0.995,835.09,894.85
72.38,1.76,0.3093,12,6,2.6223,11.91,0.9653,0.995,741.37,808.71
30.47,1.06,0.6025,14,8,3.3009,14.66,0.998,0.995,815.32,874.46
54.67,1.22,0.4834,19,10,2.07,10.16,0.9846,0.9918,637.9,697.16
28.45,2.48,0.4157,13,8,2.6406,10.21,0.9833,0.995,685.37,761.18
57.97,2.45,0.66,19,10,3.5991,15.29,0.998,0.995,877.31,956.02
51.49,1.01,0.3465,14,6,2.5073,13.0,0.9674,0.995,724.62,784.46
78.26,2.43,0.6824,14,7,2.2072,12.15,0.998,0.9768,705.04,781.94
46.05,1.96,0.4256,15,8,2.7012,9.69,0.982,0.995,697.19,767.68
32.02,2.3,0.6554,19,11,3.2086,9.88,0.998,0.9873,748.89,824.78
33.58,1.68,0.5412,19,9,2.442,8.11,0.998,0.9947,639.55,701.57
70.69,1.77,0.6307,15,8,3.8289,8.91,0.998,0.9946,834.06,899.84
62.09,1.73,0.6936,17,8,2.0258,13.57,0.998,0.9837,685.15,750.12
31.07,2.0,0.4154,17,10,2.5313,16.92,0.9747,0.995,758.91,830.58
30.05,1.21,0.6845,18,9,3.3194,10.87,0.998,0.9868,771.87,831.44
67.06,1.04,0.4558,17,7,3.1295,11.28,0.998,0.995,783.59,839.02
29.37,1.46,0.4542,11,5,3.6182,9.16,0.998,0.995,774.91,835.69
74.31,2.06,0.4362,19,8,3.9911,11.89,0.9959,0.995,892.44,959.92
67.37,1.3,0.5166,10,5,2.3952,8.37,0.998,0.9942,667.04,726.55
29.88,2.01,0.3617,19,8,1.5112,17.18,0.9536,0.995,650.43,718.67
30.09,2.45,0.5215,11,5,1.2852,14.73,0.9696,0.9814,595.67,670.34
84.2,1.14,0.5167,11,6,3.2353,17.91,0.998,0.995,885.31,944.28
47.46,2.01,0.6048,12,7,3.6472,16.83,0.998,0.995,892.85,964.62
47.24,1.67,0.6335,19,9,1.818,12.73,0.998,0.9758,642.33,706.34
73.77,2.3,0.4762,16,10,1.6437,13.2,0.9714,0.9895,649.77,721.16
81.83,1.27,0.4209,11,4,1.3742,9.91,0.9589,0.979,586.69,644.03
84.16,2.04,0.4037,10,5,3.5036,12.62,0.988,0.995,856.06,928.63
70.2,2.26,0.3778,15,8,2.0719,17.03,0.9616,0.995,742.94,817.73
47.58,2.42,0.3231,18,9,2.3248,8.51,0.9704,0.995,644.23,719.54
30.01,2.02,0.437,12,6,2.6077,16.64,0.9836,0.995,757.76,828.26
71.63,1.75,0.4081,15,7,3.5505,11.41,0.9877,0.995,837.12,899.15
58.5,1.93,0.6866,12,6,3.0223,17.0,0.998,0.995,827.55,892.15
50.45,2.3,0.5231,10,5,2.9222,17.41,0.998,0.995,822.67,901.17
79.38,1.86,0.4389,14,6,1.6919,14.71,0.9631,0.995,677.55,746.4
31.67,1.05,0.5322,19,8,2.6369,14.64,0.9976,0.995,734.09,789.78
54.56,2.4,0.3557,13,6,3.2031,12.53,0.9743,0.995,794.4,869.56
25.68,2.03,0.4776,16,7,3.9251,16.36,0.998,0.995,903.3,970.29
53.12,2.01,0.5505,15,8,1.7639,17.62,0.9849,0.995,693.55,765.76
28.38,1.32,0.4956,19,8,1.2267,15.75,0.9579,0.9851,597.29,654.87
32.13,1.99,0.4607,16,9,1.4108,14.22,0.974,0.9905,598.51,669.75
32.05,1.59,0.6975,14,6,2.2524,14.07,0.998,0.9836,690.09,754.22
63.95,1.98,0.6521,13,6,3.4975,16.49,0.998,0.995,889.58,959.12
69.76,1.16,0.5494,16,9,1.22,13.41,0.9701,0.9703,601.32,656.12
60.0,1.99,0.5278,16,7,2.4788,16.04,0.9921,0.995,764.69,831.91
82.73,2.5,0.5483,15,8,2.1218,13.09,0.9945,0.995,706.32,784.58
47.49,1.07,0.3805,17,9,1.3469,8.62,0.9453,0.9824,535.11,591.35
42.14,2.47,0.4581,13,6,2.4607,11.84,0.9893,0.995,692.91,769.99
77.12,1.61,0.3158,19,8,1.9133,12.44,0.9518,0.995,675.02,739.75
38.42,2.31,0.4902,14,7,2.1853,9.42,0.9867,0.995,634.57,705.28
82.79,2.17,0.5172,13,5,3.1757,9.02,0.998,0.995,771.55,846.19
25.73,1.85,0.3911,10,4,2.6603,13.35,0.9771,0.995,723.41,790.46
83.19,2.11,0.6856,17,8,1.549,8.85,0.998,0.9469,595.15,669.1
27.59,2.32,0.6638,10,5,3.892,11.03,0.998,0.9915,833.9,904.65
78.47,1.61,0.5889,14,7,2.9806,15.45,0.998,0.995,823.68,888.91
56.66,1.49,0.5134,15,8,3.3444,17.64,0.998,0.995,870.22,933.7
84.58,2.0,0.648,15,8,1.4218,15.18,0.9879,0.9739,654.98,722.03
29.43,2.21,0.3523,14,6,1.3318,17.93,0.9431,0.995,638.48,710.38
58.23,2.14,0.6162,12,5,1.2545,14.98,0.9775,0.9639,616.94,686.97
83.16,2.2,0.3499,14,8,1.7286,10.94,0.9621,0.995,639.16,713.84
56.39,1.65,0.6177,17,9,2.3603,14.72,0.998,0.9921,730.88,796.3
62.76,2.23,0.4103,11,6,3.8203,15.02,0.9855,0.995,899.15,975.75
66.74,1.18,0.6508,15,7,2.4798,11.72,0.998,0.9826,716.32,774.43
52.27,1.82,0.6776,18,9,2.0127,8.18,0.998,0.9586,613.69,682.4
62.65,1.01,0.3595,17,9,2.7734,15.03,0.9695,0.995,788.61,846.09
60.06,1.49,0.4851,17,8,1.5134,8.22,0.974,0.9755,562.34,625.75
79.07,1.55,0.6924,17,8,2.9066,14.31,0.998,0.9947,812.33,874.81
27.73,1.59,0.4934,16,8,2.7916,9.64,0.998,0.995,695.17,757.94
41.86,2.04,0.6454,17,7,3.4176,13.66,0.998,0.995,822.25,892.74
82.02,1.58,0.5355,15,7,3.9627,13.04,0.998,0.995,912.42,977.75
78.42,1.67,0.4501,11,6,1.9024,8.14,0.9777,0.9886,613.51,677.07
52.34,1.36,0.4143,11,6,2.627,11.63,0.9864,0.995,721.83,783.48
62.21,1.56,0.3813,17,8,3.7448,14.01,0.9833,0.995,879.61,943.65
41.64,1.34,0.6047,10,5,3.3985,16.49,0.998,0.995,859.33,916.94
36.29,1.11,0.4546,15,7,2.5647,16.89,0.9862,0.995,765.6,823.46
52.82,1.91,0.5045,15,8,3.847,12.84,0.998,0.995,869.91,938.77
46.2,2.0,0.4969,13,6,1.3603,15.28,0.9654,0.9822,621.99,690.92
60.02,1.93,0.5309,19,11,3.8068,11.16,0.998,0.995,847.57,916.76
29.66,1.7,0.6462,12,6,1.3414,11.42,0.9899,0.9606,561.25,625.66
83.46,1.57,0.6923,12,6,2.7325,9.94,0.998,0.976,732.64,796.68
84.17,2.3,0.463,10,5,3.6932,13.62,0.995,0.995,888.1,962.19
66.89,1.78,0.631,12,7,1.9356,11.15,0.998,0.9723,650.28,713.9
57.17,1.72,0.6058,13,6,2.5223,8.84,0.998,0.9839,674.02,739.53
43.57,1.04,0.5294,14,7,2.1081,14.85,0.9895,0.995,695.16,749.85
73.83,1.51,0.6824,12,7,3.866,15.08,0.998,0.995,916.1,980.05
66.08,1.57,0.3802,15,6,3.5062,11.6,0.9826,0.995,825.78,891.1
34.76,1.6,0.3437,14,8,3.1852,8.77,0.9781,0.995,730.35,793.3
79.66,1.87,0.6416,12,5,2.8454,12.26,0.998,0.9904,775.35,841.82
74.35,1.8,0.4757,15,8,3.4977,12.42,0.998,0.995,844.39,908.04
81.99,1.91,0.6388,15,8,2.2983,14.69,0.998,0.995,745.33,812.38
68.54,2.15,0.6572,17,8,2.4531,11.15,0.998,0.9822,708.56,780.12
61.8,2.22,0.325,11,6,3.244,14.83,0.9739,0.995,832.5,903.11
50.09,2.08,0.6534,10,4,2.2017,16.71,0.998,0.993,739.66,812.6
80.96,2.43,0.4793,13,6,1.3789,10.37,0.9639,0.9769,590.06,667.08
76.96,1.03,0.5042,16,8,1.4081,17.79,0.9641,0.9921,677.34,732.51
27.71,1.29,0.5506,19,9,1.523,11.86,0.9863,0.978,582.23,641.6
26.58,1.01,0.6706,12,6,3.6351,10.67,0.998,0.9898,798.66,854.44
47.59,1.97,0.3076,12,5,2.5222,12.22,0.9634,0.995,711.13,781.97
73.63,2.35,0.4907,14,6,3.1961,8.94,0.998,0.995,773.42,850.25
84.24,1.37,0.5751,14,6,2.3001,9.26,0.998,0.9779,678.1,737.96
34.03,2.39,0.5891,19,8,1.9244,12.14,0.9972,0.9754,634.75,710.32
60.65,1.09,0.577,12,6,2.1721,15.62,0.9947,0.995,721.76,778.46
47.85,2.4,0.3538,18,10,3.4237,17.0,0.9793,0.995,867.31,942.96
83.19,1.53,0.4198,13,8,2.9506,14.65,0.9848,0.995,822.11,886.77
75.53,1.15,0.4435,12,7,3.8254,9.05,0.997,0.995,840.69,900.42
75.3,1.73,0.6218,11,5,3.1032,14.72,0.998,0.995,829.04,895.66
53.12,1.39,0.4115,19,9,2.7965,14.35,0.9833,0.995,769.55,828.51
49.89,1.43,0.3843,18,8,2.9085,16.06,0.9753,0.995,801.27,863.7
41.4,1.46,0.683,13,6,3.8386,16.25,0.998,0.995,905.87,968.55
28.38,2.2,0.3035,12,6,3.407,16.68,0.9696,0.995,849.15,920.24
76.88,1.81,0.6991,16,7,1.2673,12.14,0.998,0.9477,595.59,663.48
73.77,1.47,0.5707,17,8,2.6956,14.98,0.998,0.995,786.6,847.52
84.98,1.92,0.6314,11,6,3.1273,10.68,0.998,0.9915,790.99,861.21
84.8,2.07,0.4178,16,8,3.2964,17.99,0.9832,0.995,893.84,965.95
58.33,1.41,0.3057,14,7,1.7968,9.75,0.9545,0.995,610.24,671.82
71.14,1.62,0.5951,14,6,3.6281,8.1,0.998,0.9899,809.98,874.36
81.69,1.18,0.6337,12,5,3.8764,9.49,0.998,0.9926,856.78,910.26
75.98,1.27,0.5962,14,8,1.8628,15.76,0.995,0.995,700.09,756.74
39.84,2.02,0.3571,11,5,3.6713,12.47,0.9839,0.995,836.86,906.93
52.03,1.27,0.6014,13,6,1.4715,12.48,0.9853,0.9661,607.1,669.23
32.75,1.79,0.6076,15,6,1.356,17.55,0.9799,0.9773,633.25,701.19
82.24,2.06,0.5634,10,5,1.5618,17.2,0.9832,0.9868,692.58,767.16
61.37,1.16,0.6064,19,8,1.3617,11.11,0.985,0.9607,586.59,644.16
38.72,1.85,0.6384,13,7,3.566,10.09,0.998,0.995,794.43,862.13
65.3,1.38,0.5454,15,8,1.3653,16.48,0.978,0.9889,649.82,713.44
62.09,2.44,0.3354,18,10,1.9607,17.06,0.9586,0.995,716.06,792.4
46.49,1.73,0.4951,11,5,1.4905,13.42,0.9652,0.9877,615.35,679.26
31.81,2.21,0.3311,16,9,2.0272,14.29,0.9612,0.995,669.41,743.17
65.29,1.83,0.463,15,8,1.4536,10.57,0.9688,0.9784,582.44,652.07
56.22,1.07,0.4628,11,5,3.0704,16.01,0.9947,0.995,820.1,874.42
71.34,1.95,0.3264,17,9,1.5733,14.32,0.9449,0.995,650.31,720.73
56.21,2.43,0.4395,16,6,3.5852,13.04,0.9936,0.995,842.54,918.76
76.13,1.9,0.3444,14,6,3.4881,8.6,0.9803,0.995,795.06,864.5
58.11,2.23,0.6233,14,8,1.2383,17.16,0.9775,0.9698,645.65,719.7
58.66,2.33,0.6791,16,7,3.708,14.15,0.998,0.995,876.79,950.85
77.6,1.34,0.3289,18,9,1.281,9.93,0.9406,0.9818,564.39,624.3
49.21,1.32,0.682,18,9,1.871,14.06,0.998,0.9713,663.0,722.07
33.04,1.92,0.509,18,10,1.2907,14.77,0.964,0.9842,595.44,664.42
26.73,1.62,0.4198,15,9,2.1404,13.26,0.9703,0.995,661.48,724.04
70.31,2.26,0.3307,19,11,2.6388,15.18,0.9668,0.995,780.29,852.98
62.22,2.35,0.5002,15,7,3.4306,13.81,0.998,0.995,836.79,911.21
67.24,1.53,0.6178,12,5,2.1463,17.48,0.998,0.995,752.92,816.65
37.78,1.36,0.5828,10,5,3.1754,8.54,0.998,0.995,736.28,793.78
33.18,2.17,0.3201,16,6,1.725,9.06,0.9544,0.995,582.1,654.45
25.87,1.41,0.3292,13,5,3.3017,9.74,0.9771,0.995,746.0,805.77
46.04,2.23,0.4611,10,5,1.8608,14.9,0.9767,0.995,666.22,738.91
60.4,1.64,0.4181,17,9,1.6019,14.46,0.961,0.995,650.08,713.29
48.53,2.0,0.393,15,9,1.7191,16.92,0.9588,0.995,684.53,754.94
51.25,1.14,0.4124,15,7,1.7098,15.33,0.968,0.995,665.45,722.28
79.25,1.94,0.6214,11,5,2.636,13.08,0.998,0.9936,763.6,834.06
45.9,1.68,0.6717,10,4,3.5654,17.92,0.998,0.995,898.06,964.03
55.84,1.88,0.462,11,6,1.4229,10.66,0.966,0.9787,579.73,644.85
72.02,1.25,0.6624,13,7,3.1795,16.33,0.998,0.995,852.7,909.56
48.79,2.11,0.4286,11,6,3.0322,12.27,0.9881,0.995,765.68,836.92
62.33,2.29,0.4906,10,6,3.6431,14.49,0.9971,0.995,873.55,947.88
76.74,1.33,0.3904,16,8,1.8836,15.27,0.9678,0.995,701.43,759.56
81.97,1.14,0.5562,17,8,2.4603,14.34,0.998,0.995,755.41,815.17
33.82,1.04,0.6916,15,7,3.7923,9.41,0.998,0.9857,806.96,864.22
80.6,1.96,0.5414,13,7,3.048,12.43,0.998,0.995,795.72,861.88
54.53,1.91,0.4431,15,7,2.2886,13.61,0.9819,0.995,712.07,781.43
40.49,1.82,0.5591,12,6,1.568,16.49,0.9873,0.9897,654.03,721.24
52.55,1.35,0.3492,17,10,1.935,12.44,0.9619,0.995,652.74,715.45
83.8,1.59,0.6555,19,11,2.8274,17.19,0.998,0.995,834.87,895.53
54.56,1.89,0.5012,11,6,3.2109,12.4,0.9954,0.995,792.37,864.87
44.73,1.75,0.4797,14,8,1.5484,13.49,0.9742,0.9906,614.94,679.44
63.0,2.48,0.5343,10,5,2.8789,15.96,0.9978,0.995,806.73,884.71
39.41,1.2,0.5499,15,6,2.741,13.83,0.9975,0.995,748.43,805.28
29.55,2.04,0.3287,11,5,2.6391,17.6,0.969,0.995,775.59,845.48
32.73,1.61,0.573,13,7,3.1323,14.6,0.998,0.995,796.42,857.14
32.68,1.64,0.3968,15,8,3.5449,13.23,0.9887,0.995,820.85,887.88
34.11,2.08,0.5856,19,8,2.1044,8.24,0.998,0.9732,607.36,677.97
33.33,2.04,0.629,17,10,3.6892,12.14,0.998,0.995,825.67,895.85
63.45,2.49,0.6216,17,7,1.6498,10.99,0.998,0.9701,603.92,685.85
35.91,1.19,0.521,15,7,1.6845,15.48,0.9771,0.9931,659.02,718.83
45.74,1.16,0.5081,13,7,1.947,10.08,0.9809,0.9855,619.36,675.36
78.81,2.09,0.3572,17,7,1.5347,10.05,0.9603,0.9933,600.26,670.34
53.44,1.87,0.6101,17,7,1.8449,9.9,0.998,0.9732,610.39,678.92
65.05,1.41,0.4086,19,9,1.498,9.26,0.9582,0.9844,574.72,637.43
35.34,1.12,0.4987,10,6,3.5009,11.11,0.998,0.995,796.13,856.42
36.54,1.13,0.4137,13,6,1.5891,16.86,0.9628,0.995,660.4,714.11
27.45,2.34,0.3535,13,7,3.2924,15.75,0.9801,0.995,822.54,899.11
35.14,1.29,0.5518,16,8,1.3342,15.35,0.9735,0.9729,608.13,669.22
41.72,1.49,0.3217,16,6,3.8559,15.97,0.9804,0.995,902.8,963.49
35.62,1.34,0.5995,17,10,3.1912,10.69,0.998,0.995,756.29,815.67
30.32,1.53,0.427,14,6,1.219,16.87,0.9487,0.9904,610.91,670.63
32.24,1.1,0.3001,16,9,3.3388,9.37,0.9732,0.995,752.77,808.33
52.65,1.78,0.5045,17,9,2.6394,11.36,0.998,0.995,723.87,791.01
37.38,1.1,0.3187,18,11,3.3822,13.87,0.9748,0.995,821.5,881.21
46.86,2.2,0.4105,12,5,2.663,9.03,0.9826,0.995,688.3,764.68
55.21,1.35,0.5828,12,6,2.9949,15.3,0.998,0.995,806.02,864.22
66.42,1.81,0.3251,13,6,3.4017,11.87,0.9785,0.995,819.7,889.77
27.36,2.32,0.6357,14,6,2.3343,15.84,0.998,0.995,718.37,789.28
72.96,1.98,0.3015,19,10,1.2076,12.93,0.9305,0.995,591.71,660.19
62.67,1.8,0.3987,10,4,3.5799,9.81,0.9853,0.995,814.88,881.26
29.91,1.49,0.5964,16,8,2.2665,15.35,0.998,0.995,706.73,769.53
77.41,1.5,0.4265,18,8,2.5889,10.52,0.9816,0.995,728.67,791.37
80.25,2.0,0.3408,17,8,1.2217,12.91,0.9426,0.986,604.76,675.55
28.66,2.49,0.4441,14,8,2.5779,8.76,0.9883,0.995,654.0,731.0
41.61,1.99,0.4082,13,6,3.9622,14.18,0.9908,0.995,885.43,957.24
73.37,1.84,0.6371,16,8,1.9791,14.66,0.998,0.981,695.87,764.8
69.9,2.1,0.4253,14,7,2.3072,11.79,0.9797,0.995,697.26,768.12
36.07,1.7,0.6156,16,9,3.1241,17.54,0.998,0.995,828.14,895.29
37.56,1.09,0.6567,10,5,3.4814,16.74,0.998,0.995,864.66,925.15
47.23,1.84,0.4735,10,5,2.3687,15.08,0.9838,0.995,728.34,794.65
54.07,2.44,0.664,19,11,2.0671,15.14,0.998,0.9881,704.49,784.39
62.1,1.26,0.4509,12,7,3.8259,10.52,0.9953,0.995,846.7,904.48
47.13,2.04,0.6856,11,5,3.096,14.57,0.998,0.995,802.37,875.71
52.75,1.3,0.3357,11,6,1.5333,9.98,0.9519,0.994,586.65,645.08
69.85,1.8,0.5748,16,9,1.393,9.44,0.9791,0.9633,573.06,641.64
27.2,1.15,0.4975,19,10,2.5539,17.99,0.9908,0.995,768.39,825.92
40.15,1.68,0.4551,11,4,1.8163,14.22,0.9717,0.995,650.03,711.59
67.8,2.13,0.5531,13,6,1.9112,12.31,0.9948,0.9848,658.66,734.5
78.71,1.52,0.5815,11,6,3.6575,10.88,0.998,0.995,848.19,909.22
55.7,2.0,0.3017,15,7,1.4508,14.04,0.9376,0.995,624.75,692.17
56.93,2.19,0.3668,17,9,3.203,8.5,0.9804,0.995,754.54,826.16
31.43,2.39,0.5852,19,9,1.9592,8.95,0.9955,0.9705,599.45,680.38
51.84,1.35,0.5666,13,7,3.3289,8.33,0.998,0.995,756.42,814.19
56.96,1.6,0.6864,14,6,3.2228,12.99,0.998,0.992,807.5,871.84
39.55,1.23,0.6044,13,6,1.2207,14.01,0.9787,0.962,583.75,639.93
41.15,2.49,0.6803,12,7,2.6256,8.62,0.998,0.9717,677.83,753.26
47.64,2.39,0.581,14,8,1.5901,15.21,0.9861,0.9856,649.57,722.23
26.2,1.81,0.4192,18,10,3.6254,10.3,0.9916,0.995,792.9,860.68
44.32,2.26,0.3421,17,8,3.6404,14.85,0.9742,0.995,869.4,943.03
37.69,1.78,0.6127,17,9,2.3714,17.82,0.998,0.995,758.39,822.85
44.65,1.94,0.5577,17,9,2.4443,14.91,0.9979,0.995,733.58,804.36
32.19,1.13,0.3193,17,9,2.0492,16.83,0.9582,0.995,705.16,764.12
78.43,2.13,0.444,16,7,3.2065,17.48,0.9863,0.995,876.16,948.97
60.62,1.19,0.6827,17,9,2.2043,12.87,0.998,0.9804,695.44,755.65
